,height
1110,134.1
1111,136.2
1112,137.2
1113,135.4
1114,139.6
1115,136.8
1116,147.8
1117,146.7
1118,134.5
1119,129.5
1120,138.2
1121,130.3
1122,129.8
1123,133.0
1124,133.3
1125,142.3
1126,139.6
1127,144.3
1128,139.7
1129,129.0
1130,136.1
1131,133.7
1132,136.4
1133,134.2
1134,144.5
1135,146.4
1136,156.8
1137,151.9
1138,134.9
1139,144.3
1140,149.0
1141,139.3
1142,129.5
1143,145.2
1144,148.8
1145,139.6
1146,140.4
1147,139.2
1148,141.7
1149,152.8
1150,155.1
1151,138.8
1152,149.7
1153,136.5
1154,138.1
1155,144.8
1156,135.5
1157,143.1
1158,150.8
1159,138.5
1160,143.7
1161,156.6
1162,171.0
1163,146.3
1164,138.8
1165,155.3
1166,149.8
1167,144.2
1168,159.0
1169,148.8
1170,162.6
1171,147.0
1172,149.1
1173,147.8
1174,157.7
1175,159.1
1176,148.2
1177,151.2
1178,154.5
1179,150.5
1180,150.9
1181,148.6
1182,148.7
1183,151.2
1184,159.1
1185,160.2
1186,160.8
1187,149.4
1188,117.0
1189,128.0
1190,119.5
1191,123.1
1192,123.3
1193,121.8
1194,125.1
1195,127.6
1196,116.6
1197,121.0
1198,128.4
1199,121.5
1200,126.8
1201,120.4
1202,121.2
1203,116.3
1204,117.4
1205,114.7
1206,118.3
1207,120.2
1208,129.1
1209,125.3
1210,121.6
1211,124.9
1212,131.8
1213,134.2
1214,131.1
1215,124.7
1216,114.3
1217,129.0
1218,136.5
1219,135.0
1220,128.6
1221,142.3
1222,123.4
1223,131.1
1224,132.1
1225,136.9
1226,125.3
1227,126.1
1228,133.0
1229,128.3
1230,125.4
1231,127.3
1232,121.6
1233,124.7
1234,125.2
1235,125.6
1236,131.3
1237,141.0
1238,139.7
1239,135.5
1240,131.4
1241,138.0
1242,127.9
1243,137.7
1244,143.6
1245,128.9
1246,135.2
1247,127.9
1248,128.2
1249,132.0
1250,137.4
1251,129.2
1252,130.0
1253,139.3
1254,133.1
1255,131.1
1256,129.8
1257,122.6
1258,120.0
1259,133.3
1260,136.2
1261,140.6
1262,136.3
1263,131.8
1264,137.6
1265,133.3
1266,142.4
1267,151.8
1268,135.9
1269,141.6
1270,146.2
