,height
884,130.3
885,132.8
886,124.0
887,128.5
888,138.5
889,134.7
890,116.9
891,130.8
892,128.3
893,132.7
894,123.0
895,129.2
896,136.0
897,120.3
898,135.5
899,136.4
900,133.2
901,124.9
902,135.6
903,136.3
904,131.9
905,136.1
906,140.9
907,130.3
908,132.1
909,130.6
910,135.8
911,133.7
912,143.8
913,132.2
914,133.2
915,138.7
916,124.9
917,145.7
918,132.7
919,139.5
920,123.8
921,133.2
922,147.3
923,139.6
924,144.5
925,140.2
926,145.5
927,133.5
928,137.9
929,141.7
930,142.4
931,146.6
932,131.7
933,134.7
934,143.7
935,136.8
936,139.6
937,135.8
938,131.9
939,141.5
940,131.9
941,141.1
942,145.7
943,137.6
944,140.8
945,142.2
946,135.0
947,136.0
948,146.0
949,140.0
950,141.7
951,146.0
952,139.1
953,148.8
954,148.1
955,157.3
956,147.0
957,146.4
958,153.0
959,140.9
960,141.4
961,154.0
962,143.8
963,143.4
964,138.2
965,145.1
966,137.3
967,145.3
968,148.2
969,138.7
970,128.1
971,161.5
972,149.0
973,149.0
974,150.0
975,154.5
976,157.0
977,160.7
978,166.5
979,150.0
980,155.0
981,147.5
982,152.0
983,148.0
984,158.5
985,151.5
986,154.5
987,150.5
988,153.0
989,152.0
990,160.0
991,153.0
992,157.0
993,147.0
994,144.0
995,148.0
996,154.0
997,121.5
998,119.8
999,131.1
1000,119.5
1001,131.6
1002,126.3
1003,116.3
1004,125.0
1005,116.0
1006,119.9
1007,118.1
1008,123.4
1009,123.4
1010,124.2
1011,125.0
1012,127.6
1013,126.5
1014,121.7
1015,123.0
1016,119.1
1017,116.9
1018,124.5
1019,124.5
1020,122.9
1021,116.2
1022,116.6
1023,121.6
1024,124.3
1025,138.5
1026,138.5
1027,130.2
1028,130.6
1029,126.2
1030,130.2
1031,127.9
1032,122.6
1033,122.7
1034,128.8
1035,131.1
1036,117.6
1037,123.7
1038,131.7
1039,131.2
1040,131.0
1041,130.8
1042,130.0
1043,122.3
1044,126.9
1045,128.6
1046,133.7
1047,128.0
1048,138.6
1049,138.4
1050,139.1
1051,138.8
1052,149.3
1053,133.9
1054,141.2
1055,128.5
1056,136.2
1057,135.9
1058,139.9
1059,125.4
1060,144.2
1061,134.0
1062,138.6
1063,134.3
1064,140.5
1065,131.7
1066,123.7
1067,128.1
1068,134.1
1069,137.3
1070,144.8
1071,136.4
1072,148.8
1073,146.7
1074,136.4
1075,137.8
1076,130.5
1077,139.6
1078,142.2
1079,130.8
1080,158.8
1081,142.8
1082,130.0
1083,145.7
1084,142.6
1085,143.1
1086,137.6
1087,122.7
1088,140.9
1089,137.9
1090,142.2
1091,147.3
1092,149.7
1093,141.7
1094,140.3
